image_name| comment_number| comment
1001545525.jpg| 0| Two men in Germany jumping over a rail at the same time without shirts .
107368840.jpg| 0| Two brunette women in jackets sitting against a wall and looking at the same magazine .
1170586898.jpg| 0| Three men , each wearing a white shirt and orange shorts , build a sand castle while another man , wearing the same clothing , looks on .
118309463.jpg| 0| A small boy smiles as he stands with others wearing the same black hats .
1280320287.jpg| 0| A man is pulled behind a boat on a knee board while another doing the same begins to fall .
12904242.jpg| 1| There are three swimmers from the same team getting ready to compete .
1306038218.jpg| 4| Two soccer players going after the same ball .
133189853.jpg| 0| A man wearing a tuxedo shirt , vest , and bowtie is kissing another man wearing the same thing on the cheek .
133243755.jpg| 1| A group of people , dressed the same walking down the street , in a parade .
137430967.jpg| 2| A group of spectators outside in the cold , all focusing on the same object .
1400091666.jpg| 0| A guy with long hair wearing a red shirt is playing guitar and smoking at the same time .
1439282131.jpg| 0| Two dogs are holding the same stick in their mouths while in the water .
145282619.jpg| 1| A man cooking with fire in like 5 pots at the same time !
1454439103.jpg| 2| A catcher and a pitcher of the same team talk on the pitcher 's mound .
1459582913.jpg| 0| Three people dressed in blue , white and black leotards are being held up by the hands of a set of two people each on the ground dressed in the same outfit as people look on .
1497927568.jpg| 1| Three women outside all dress the same and talking to one another .
150710406.jpg| 0| A young girl and a dog standing in a river next to a fallen tree , both looking in the same direction .
156249400.jpg| 0| One man wearing camouflage pants and green t-shirt stands with one foot on a square while another man wearing the same type of clothing reaches out with a baseball glove on his left hand .
157557961.jpg| 1| A white male wearing a black shirt pointing to the screen of an oversized blackberry which is roughly the same height as him .
175556963.jpg| 1| People sitting around in a semi circle all looking in the same direction .
18284727.jpg| 0| A woman paints a picture with two of the same picture on the wall in front of her .
183018056.jpg| 2| Multiple people carry a sesame street float through the streets for a parade .
1855937878.jpg| 3| Two men with bags run in the same direction .
1874530310.jpg| 3| Three men in same colored vests are in the outdoors .
1876536922.jpg| 1| Two dogs run through the water and both hold the same toy in their mouths .
187907408.jpg| 1| A tall man and a shorter man walking and talking , wearing the same sandals .
1937262236.jpg| 0| Two dogs both pull on the same orange ball while playing in the sand .
2035511078.jpg| 1| Three females , all wearing the same type of white , but colorful dress , sitting down , looking radiant .
2102732029.jpg| 3| two young kids looking into the same camera
2223151597.jpg| 1| A man and woman seated at a table converse while another couple , standing at the bar behind them , does the same .
2228022180.jpg| 0| Many school children dressed in the same uniform are sitting on stairs .
2234368402.jpg| 2| A child in a red hat is looking out a window while a woman on the street watches the same event .
2237256401.jpg| 1| a group of girls from the same sport team join their hands .
2281443699.jpg| 2| Two little girls , one wearing a pink jacket , coloring in the same coloring book .
2298283771.jpg| 2| Four people in dark clothes walk in the same direction .
2320787588.jpg| 0| A woman with dark hair and a purple jacket nurses her baby as several other women do the same around her .
2322046574.jpg| 3| Two players from the same team drinking in the field .
2325436612.jpg| 1| A man is studying something through a microscope , while another man in the background does the same .
233319956.jpg| 2| A girl sitting on a chair and playing the violin at the same time .
2339530872.jpg| 1| These three men are jogging the same direction down a city street wearing sunglasses .
2341565486.jpg| 1| A girl kicks a ball with three girls doing the same in the background .
2354829523.jpg| 0| A woman wearing a blue and white uniform with a white and blue hat on with her mouth open near others dressed the same .
2398915100.jpg| 0| Men in similar blue and white jackets are on a bus with the same colors on the side .
2399114095.jpg| 0| Two dogs with the same coloring look like they are going to bite each other in the face .
2402088539.jpg| 0| An individual in blue pants is standing on a step ladder while two others look in the same direction as the man on the ladder .
241347214.jpg| 0| A Sooners football player in his red and white uniform being lifted by two teamates dressed the same .
2429405579.jpg| 1| A blond girl points with the same hand that is holding a cigarette and an MP3 player .
2429464837.jpg| 0| Three men and one woman standing next to each other , all wearing aprons and pouring something into each others cups at the same time .
2437874982.jpg| 1| Eight people jumping up at the same time in a wooded setting by a river .
2442012496.jpg| 3| An elderly lady compares two copies of the same painting .
2493701633.jpg| 4| Ten people look at the same thing in a tiled room .
2508852288.jpg| 3| A group of women is the same white shirt are in the street .
2525898056.jpg| 0| A person wearing a red and black uniform is holding a bat and wearing a red batter 's helmet while a girl sits behind in the same uniform .
253924161.jpg| 0| A man with gray hair and a blond woman sitting on the same side of a table with bikes in the background .
2552816307.jpg| 1| Two dogs both have the same stick in their mouth while they are swimming .
2574683131.jpg| 1| A man standing under a tent with his back to the camera near a statue of a man doing the same .
2574886804.jpg| 0| Twin brothers wearing the same shirt and pants , folding a towel together .
2582413611.jpg| 3| A group of preteens jumping at the same time .
2602415701.jpg| 0| Five young boys in swim trunks jump into a swimming pool at the same time .
2603743747.jpg| 0| A bare chested man in shorts is fixing a roof while another man wearing the same thing looks on .
2612150730.jpg| 0| A large group of black children are holding their hands in the air , facing the same direction .
262376764.jpg| 0| A toddler in a sesame street t-shirt , and an infant , wearing a shirt with a baseball printed on , play with dirt in a public park .
2631541162.jpg| 1| Five little girls , all the same age and dressed the same , playing in a room together .
2647394564.jpg| 0| A child is leaping from one bed to another in the same room .
2656424263.jpg| 0| A man holding his arms out horizontally , and gripping a fencing sword in his right hand , as people in the background do the same thing .
2685518281.jpg| 2| Three men walking on the street wearing the same uniform .
270224477.jpg| 1| There is a child around 6 months old sitting on a large Elmo doll , looks like he is about to gum it with a Sesame Street book in their right hand .
2705099033.jpg| 1| Four young men sit on the floor close to a television that is showing Elmo from Sesame Street .
2736200571.jpg| 1| man playing a flute and smoking a cigarette at the same time .
2745372673.jpg| 0| An older man dressed in red and black is operating machinery while there are others in the background doing the same thing .
275170445.jpg| 0| A woman wearing a large pink and white hat is sitting next to several men wearing blue and white shirts with yellow sashes and in front of several drums topped with the same type of pink and white hat .
2772793352.jpg| 0| Two children are sitting in the same wooden lawn chair while a green rake is leaning against the same chair .
2818735880.jpg| 2| Many dogs are running the same way in a field .
2822265828.jpg| 1| 19 young girls , wearing the same athletic uniform , sit next to each other on a bench facing a running track .
282741726.jpg| 1| People seated at long tables all facing the same direction , some writing and some watching .
2833509990.jpg| 2| a mass of people looking and moving in the same general direction .
2835793460.jpg| 1| A lady putting her bike on the sidewalk as a guy carries his skateboard onto the same sidewalk .
2894217628.jpg| 0| Two young men on the same football team are wearing orange and white uniforms and playing on an outside field while coaches and other players watch .
2911032463.jpg| 1| A large group of seated people all looking in the same direction .
"292354399.jpg| 0| A woman with a yellow "" Miller "" bag has her hand on a seated man "," while another woman with the same type yellow "" Miller "" bag is standing close to them ."
2925163296.jpg| 0| A short-haired fairly young women is running in some type of race and is a man behind her running in the same race .
3010330230.jpg| 1| Guy mowing lawn and listening to the radio at the same time .
3026374370.jpg| 1| a crowd gather together , all looking in the same direction .
3030294889.jpg| 0| Three whales are jumping into the air at the same time in front of a very large crowd .
3036641436.jpg| 0| Two girls swing on with a boy , all three are wearing blue shirts of the same shade and blue jeans .
3051600747.jpg| 0| A bride and groom are kissing on a balcony or stairwell with a line of wedding participants standing behind them on the same balcony looking on .
3072114570.jpg| 1| A boy rides down the street with a younger boy behind him on the same bike .
3076446026.jpg| 0| One man walking next to a building , with another man standing on top of that same building .
3088677667.jpg| 0| Five people staring in the same direction , two of whom are wearing face masks .
3110174991.jpg| 0| A man wearing a dark suit looks down as another person dressed in black and white does the same .
3122606953.jpg| 0| Two dogs of the same breed are running through snow that has buried grass .
3126981064.jpg| 0| Two surfers catch the same huge wave in the ocean .
3131220160.jpg| 0| A group of people in an urban setting are all looking in the same direction .
3145967309.jpg| 2| A man and woman are dancing nearby others who are doing the same .
3151860914.jpg| 2| A boy and a dog hold onto the same stick in a game .
3155630117.jpg| 1| The two boys , in matching red shirts , fell asleep in the same position .
316218443.jpg| 1| Two guys are jumping in the air at the same time , in their living room .
3164506129.jpg| 0| There is a woman sitting on a very shiny surface with her head bent down slightly , and some people further down from her sitting on the same surface .
3171609109.jpg| 2| Four women are standing on their hands on a gym floor , wearing the same outfits .
3185787277.jpg| 2| There is 4 pictures of the same guy and he has a crown on in 3 of them .
318895620.jpg| 0| One man dressed in a martial arts uniform kicks another man dressed the same way in the groin while an umpire and audience looks on .
3193511842.jpg| 0| Cheerleader on top of a cheerleading pyramid , girls are looking up at her one is in the background doing the same cheer .
3201517121.jpg| 0| Two men in same clothing man on right in a fighting stance with the one on left in a submissive stance having his hands in the air .
3220009216.jpg| 0| a woman holding a baby hanging from a branch and a small child hanging on that same branch .
3241487502.jpg| 0| Two light tan dogs of the same breed but different size are running in the woods .
3246773992.jpg| 0| Girl in black pants and an orange top jumping with one leg outstreached and foot pointed other in background dressed the same .
3301811927.jpg| 0| Six hockey players of the same team are skating around waiting for the puck .
3327487011.jpg| 0| A classroom full of students is looking in the same direction inside a bamboo structure .
3335692531.jpg| 4| Three dogs are all tugging on the same toy as they stand behind a house .
3335773346.jpg| 1| A man is running through the water along side others doing the same .
3390808454.jpg| 0| Four female soccer players are all trying to hit the ball using their heads at the same time during an intense game .
3401343154.jpg| 1| A girl in a green dress dances with a man in a kilt , while another couple with the same outfits dances in the background .
3424934891.jpg| 2| Two dogs playing with the same red toy .
3446941415.jpg| 0| A girl wearing glasses hold a girl the same age wearing a red sweatshirt and yellow galoshes .
3463268965.jpg| 0| A man in camo pants and a blue and white shirt running on a concrete surface with other men dressed the same running behind him .
3469585782.jpg| 0| A crowd of people is facing the same direction while some hold their hands in the air .
3501457496.jpg| 0| A group a five people wearing the same shirt are sitting on the grass with a dog .
3514052896.jpg| 0| Four girls in pink and white all in the same pose .
3531474185.jpg| 1| Men are riding bicycles while trying to carry items at the same time in front of a blue building with red trim .
3533484468.jpg| 0| Couple talking and looking in same direction , man is using a cellphone and wearing a gray sweatshirt woman is wearing a black coat .
35400054.jpg| 0| Two people are sitting in a sailboat on the ocean as another person fishes from the same boat .
354017707.jpg| 1| It seems like no matter when I read this , the news is always the same .
3552142982.jpg| 0| Two men are on a beach bending down with one foot and one arm in the air at the same time .
3577744721.jpg| 1| A man drinking out of two green wine bottles at the same time .
3598426335.jpg| 4| Two girls wearing the same shirt .
3601491447.jpg| 1| Three men wearing the same black and yellow uniform are blocking another man in a red uniform .
3627216820.jpg| 0| a dog jumps over another dog as both animals are trying to catch the same ball .
3636055584.jpg| 0| Two male athletes wearing the same uniforms are playing against another male athlete on the opposing team .
3644668446.jpg| 1| A group of people walking in the same direction include two women , one of whom is wearing sunglasses and shorts .
3698350607.jpg| 1| A girl , a boy , and a woman looking in the same direction .
3705781399.jpg| 1| Two boxers punch each other in the face at the same time .
3718007650.jpg| 1| People with costumes are gathered in a wooded area looking the same direction .
