image_name| comment_number| comment
100652400.jpg| 2| A man in bright vest and hard hat holds a flag on a street corner covered in spray paint
1065831604.jpg| 2| Group of bicyclers rounding a corner with water spraying up from their wheels .
1095476286.jpg| 0| A young boy is jumping through water being sprayed up from the ground .
1096097967.jpg| 2| A black and white dog drinking water from a water spray .
1115565519.jpg| 3| A girl looks at a fountain that sprays water .
11678931.jpg| 0| A boy with a brown shirt is holding onto a person with a white shirt around a spray of water .
1177994172.jpg| 4| Two boys spraying each other with water
1299459562.jpg| 3| Three boys play in a spray of water .
1317292658.jpg| 0| A boy is squinting while being sprayed with water from a flat ground surface .
1341787777.jpg| 0| Brown dog on grass , drinking water spray from left side of frame .
1351764581.jpg| 0| A fireman sprays inside the open hood of small white car , on a jack .
135916133.jpg| 0| A man wearing a yellow shirt is riding a large riding lawn mower , which is spraying cut grass behind him ; pine trees are visible in the background .
136493345.jpg| 1| A pair of rainbows reflected in the spray coming from a vehicle .
1385492203.jpg| 0| A group of four young men and one young woman holding spray paint cans and smiling next to their artwork .
1449758127.jpg| 2| A man , using a sprayer on a sand sculpture by a large body of water .
1459024518.jpg| 3| A man wearing jeans and a gray shirt standing behind a spray painted brick wall .
157139628.jpg| 0| Man with white covering on is face spraying water on a mound of sand with a heart drawn that says open up .
157747588.jpg| 0| A man without a shirt runs through water spraying out of a large silver dome .
167001809.jpg| 0| A firefighter sprays water onto a gigantic pile or burning ash that includes flames and dark smoke .
16988097.jpg| 1| a fountain sprays water as a biker sits in a chair talking on his cellphone , two others are present also talking on cellphones .
17744613.jpg| 0| A man in a black shirt is playing bowling where the pins are replaced with spray paint cans and there is a graffiti filled wall in the background .
1781227288.jpg| 3| A man stands near garbage and a spray painted drawing .
181103691.jpg| 0| Children play in the street under a spray of water from a large machine .
189570539.jpg| 3| Girls giggle as they play in spraying water .
210686241.jpg| 0| A child in a white sox shirt is covered in water spray and looks distressed .
2172493537.jpg| 0| Three people are wading in shallow water near a stone path and spraying fountains .
2207346072.jpg| 0| Two men are in a small boat and spraying water at something .
2234941793.jpg| 1| A man sprays a cement truck with a hose at a curbside as a man walks by .
2253052296.jpg| 0| A toddler is washing a window with cleaning spray and paper towels .
2254100058.jpg| 1| One kid holding a bowl while another kid sprays water into it .
2359784186.jpg| 3| Person spraying squirt bottle in the snow .
2391812384.jpg| 4| A family playing the spray of a fountain .
2394857899.jpg| 0| A man in an orange construction uniform wears a white hard hat and sprays a water hose .
244774022.jpg| 1| A surfer showered in the spray of a wave .
2453971388.jpg| 2| Two young girls run through a pool while water sprays them .
"247097023.jpg| 1| A man in black standing on a rock with the phrase "" life is short "" spray painted on it ."
2529226054.jpg| 0| A person in a red vest walks past a shuttered entrance way with a Fanta ad in the background and the word ' sex ' spray printed on some sheet metal fencing in the foreground .
2542355262.jpg| 1| A boy in a blue shirt is about to use a spray bottle .
2555521861.jpg| 0| A person in a harness is hanging above water making a spray with their feet .
2564663851.jpg| 4| Boy plays in outdoor water sprays .
2565618804.jpg| 1| A girl kneels on a round fountain that sprays water into the air .
2597308074.jpg| 0| A boy with an orange tool on the shore is spraying a girl standing in shallow water with mud .
2635023078.jpg| 0| Two guys stand outside of a building that has been spray painted with words .
2687328779.jpg| 0| While one white dog is outside the pool , another white dog with a black spot on its back is jumping into a plastic swimming pool while getting sprayed by a garden hose .
2704934519.jpg| 0| A woman in a river is shaking her hair causing a water to spray everywhere .
2706743557.jpg| 2| people getting sprayed by a fountain in a city
2709683703.jpg| 3| A man spraying a super soaker into the mouth of a dog .
2714878018.jpg| 1| A little boy in glasses jumps into a spray of water .
2718027742.jpg| 1| Child standing on yellow sprinkler mat with water spraying .
2735792721.jpg| 0| A laughing child is holding a water gun and getting sprayed with water .
2743652730.jpg| 2| A boy looks out the window at another boy who is spraying the window with water .
274840168.jpg| 0| People are gathering outside , standing around a fountain that is spraying water upwards .
2781296531.jpg| 0| A young boy at a water park being sprayed in the face by a spigot decorated to look like a seahorse .
2788652511.jpg| 2| A young boy rides his boogieboard through the ocean spray .
2792212974.jpg| 2| Woman 's long wet hair gives off spray in water
2794605643.jpg| 4| A girl in a yellow shirt sprays two people with water .
2810412010.jpg| 2| The spray from water ejected by a woman 's hair is reflecting the sunlight .
2826701936.jpg| 0| Children are playing in a puddle of water that has resulted from a spray gushing from the pavement .
28318358.jpg| 0| Children getting sprayed by water in a parking lot .
28318644.jpg| 1| A small boy reaches up into a spray of water from a fountain , while a rainbow forms behind him .
2858793859.jpg| 2| Two people running away from an unknown object on fire and a water sprayer .
2889358814.jpg| 0| A gray-haired man is fixing some pipes in the street with a big red machine that is spraying water .
2892467862.jpg| 0| A young boy plays in the sprinklers , allowing the water to spray completely over his right arm .
2899374885.jpg| 1| A baby sticking out his tonge while looking at a spraying water fountain .
2934359101.jpg| 0| A boxer with a red helmet has water sprayed into his mouth by his coach in the boxing ring .
2941683067.jpg| 0| A line of men in yellow uniforms help carry a pipe , while the man carrying the nozzle sprays liquid from the pipe .
2943023421.jpg| 1| A black Mitsubishi is driving through a muddy puddle and spraying water .
3021435473.jpg| 2| Manila children playing in spraying water on street while others watch .
3052196390.jpg| 4| Children play in a water spray .
3086526292.jpg| 0| You can see the bottom halves of three boys standing on a sidewalk with silly string sprayed everywhere
3088572348.jpg| 4| A windsurfer kicks up spray .
308956341.jpg| 0| A dog is shaking the water from its fur creating a spray and mist .
3093742683.jpg| 0| A group of teenagers stands outside the doorway of a building that has been vandalized and sprayed with graffiti .
3149508060.jpg| 3| Little girl playing in water sprayer .
3176998867.jpg| 2| A snowboarder catches some air and sprays up some snow .
319847643.jpg| 2| Water is spraying on the child with its face through a cut out hole .
3263946591.jpg| 2| A man on a red dirt bike drives in the mud , covered in spray .
3295024992.jpg| 0| A man skis down the hill , spraying snow in the air , ski lifts in the background .
3347666612.jpg| 0| Children with painted red faces being sprayed with water , on grass .
3494151850.jpg| 1| Three men in a bright orange boat race across the water as foam sprays in the air .
3498482871.jpg| 2| Two bulls pulling a muddy man behind them while mud droplets spray .
3527572464.jpg| 0| Boy in a brown shirt and woman in a black shirt spray painting a bicycle .
3551092405.jpg| 3| A man looks excited as he begins to spray champagne in the air .
3582920844.jpg| 1| A long-haired man in the water is swinging his head causing the water to spray in a spiral .
3593220756.jpg| 0| A surfer in a wetsuit balances on his board amidst ocean spray .
3599442049.jpg| 3| A boy punching with a spray of snow .
3656030945.jpg| 0| Three puppies are in a bathtub getting sprayed with water from a showerhead .
3657016761.jpg| 3| A child at a water park is sprayed from all sides by a ring of water .
3686924335.jpg| 1| Leaping dog sprayed by off-screen person with hose .
3692593096.jpg| 0| Red spray is being ejected by an orange and white plane flying over the hilltops .
3712917405.jpg| 0| Guy in white t-shirt is crouched down spray painting an apple next to a picture of a large eye .
3721977689.jpg| 4| A man is spraying something on this drag car .
3765374230.jpg| 0| A girl in a swimsuit stands in the spray of water , a bicycle in the background .
3778223207.jpg| 1| A man explodes out of the dark blue waters spraying water up into the air .
3816107544.jpg| 2| A spray painted car carrying a container strapped to the top .
3843254402.jpg| 0| A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins .Fo .
4022170842.jpg| 0| Two firefighters holding a fire-hose , spraying water upwards .
4031278022.jpg| 3| A workman dealing with water spraying all over .
4049532274.jpg| 2| A man is spraying water into a grate that has fire coming out of it .
4100944178.jpg| 0| A man walks in front of a bus shelter that has been spray painted .
4130537606.jpg| 0| A burning trailer house in background , two uniformed firefighters raised up in air on ladder , and three uniformed firefighters on ground with hose spraying water at the fire .
4147681861.jpg| 2| A man is standing on a metal roof spraying red water hose .
4348885877.jpg| 1| Children are getting sprayed by a water sprinkler .
4353551949.jpg| 0| A man wearing a green shirt and blue jeans lying down next to a several big yellow tubs ," with a blue building on the right side of the photo with white graffiti "" 28 "" spray painted on it ."
4458142223.jpg| 1| A United States Postal Service street side mailbox is spray painted with graffiti .
4459396414.jpg| 2| A limo driving by a spray painted wall of a building .
44856031.jpg| 0| A tan , male dog is jumping up to get a drink of water from a spraying bottle .
4546207144.jpg| 0| A chubby woman is using a jet spray to wash an auto with New York plates and a breast cancer magnet .
4559823713.jpg| 1| A man in a green jacket stands in front of a wall that has a word spray painted on it .
4588980563.jpg| 2| Five people are painting outside on the sidewalk using spray cans .
4623000836.jpg| 2| Group of children walking down sidewalk in front of wall tagged with spray paint .
4653329590.jpg| 1| A woman in a brown baseball cap is spray painting the image of a face on a wall .
4653330656.jpg| 0| A man wearing a white t-shirt and headphones uses spray paint while working on a mural .
4668665781.jpg| 0| A man works with spray paint on a fence wall near the side of the road .
4668667757.jpg| 1| A man is sitting in a chair , as another man spray paints graffiti on a wall .
4676845629.jpg| 0| A young woman wearing a black t-shirt and cutoff black shorts enjoys the refreshing spray of water from a fountain .
