image_name| comment_number| comment
1009692167.jpg| 2| A security man with his watch dog is looking for something .
1010470346.jpg| 2| A man on a bicycle watching a row of cars waiting to go through a checkpoint .
101093029.jpg| 0| A person in tan pants is inside a silver mobile object while people watch .
101093045.jpg| 1| A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .
101362650.jpg| 3| A crowd is watching a group of five martial artists perform .
1016887272.jpg| 0| Several climbers in a row are climbing the rock while the man in red watches and holds the line .
1022454332.jpg| 4| A little boy at a lake watching a duck .
1027211271.jpg| 1| A young man is in midair while skateboarding at a skate park with people watching him in the background .
10287332.jpg| 1| Two men on a rooftop while another man stands atop a ladder watching them
102998070.jpg| 0| A young man in a blue sweater cleaning fish while three other men watch , one a man a cigarette , or match in his month .
1042020065.jpg| 4| A boy in a green shirt watches kayakers .
1042590306.jpg| 1| Guy in blue shirt biting hand of girl in black striped jacket while another guy watches
1045521051.jpg| 2| A person eats takeout while watching a small television .
1047921035.jpg| 1| The man , who is wearing the handkerchief , is performing a task with the tub while the woman watches .
104824673.jpg| 2| A member of an African tribe is watching the camera intently in tribal dress .
105077209.jpg| 3| A security guard on watch duty at the museum .
1051205546.jpg| 0| Two women in colorful dresses are sweeping water out of the street while a man watches .
1052358063.jpg| 0| A little boy skateboarder is doing a trick on his board while another young skateboarder watches .
10602072.jpg| 3| One child is climbing in a tree while another , older child , watches .
10637120.jpg| 0| A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .
107318069.jpg| 1| People are watching hot air balloons in the park .
1076460267.jpg| 0| A couple is sitting in a blue raft watching a lot of people in bathing suits on a boat .
1080230428.jpg| 2| A group of spectators watch a men 's sand volleyball game .
10815824.jpg| 3| Two people and two horses watching a fire .
1082252566.jpg| 0| A large brown dog is pushing a small Boston terrier with his face while anouther dog watches .
1087168168.jpg| 1| A boy is jumping on an inflatable ring and a girl is watching him
10919429.jpg| 4| Man working on old truck while child watches .
1094283901.jpg| 0| A shirtless man jumping off a large concrete structure into a river with his friends watching from the structure .
109738916.jpg| 0| Two helmeted men sit on yellow snowmobiles while another man stands behind watching .
1097463464.jpg| 0| A young boy wearing a black shirt , brown pants and a black watch has his hand on a white folded chair which is on the top of a large stack of similar folding chairs .
1101923011.jpg| 0| A man wearing a white tank top sings into a microphones on a stage with a crowd watching .
1104881373.jpg| 2| A woman is watching as a guy is scooping ice cream from a freezer .
110802332.jpg| 3| A hockey player attempting to score against a goalie as a defenceman watches .
1110208841.jpg| 1| A brown and white dog jumping up to catch a Frisbee while an audience watches .
111069375.jpg| 3| Street performers being watched by an interested crowd .
111285749.jpg| 1| A person is hanging up pictures of women with a few onlookers watching surrounded by bikes .
111796099.jpg| 0| The ball boys are waiting on the side lines of the tennis court while they watch the lady hitting the ball .
1122177096.jpg| 0| A man wearing a yellow shirt and tan pants plays golf outside while being watched by other people .
1122357785.jpg| 0| A young boy is falling into a pool of water with a man and a girl watching him .
1131056918.jpg| 3| Two young women stop and watch street performers .
11337976.jpg| 2| A shadowy figure watches a shirtless man ride past on a chopper .
1141739219.jpg| 0| A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
114949897.jpg| 0| A child practices hitting a baseball into a net , while two adult men watch .
